Shigella boydii CDC 3083-94,16326
Shigella sonnei Ss046,13837
Shigella boydii Sb227,12747
Shigella dysenteriae Sd197,10573
Shigella flexneri 5 str. 8401,10481
Shigella flexneri 2a str. 301,8792
Shigella flexneri 2002017,8770
Shigella flexneri 2a str. 2457T,8630
Escherichia coli,5290
Escherichia coli str. K-12 substr. W3110,3154
Pseudomonas fluorescens SBW25,2299
Gryllus bimaculatus,915
Stenotrophomonas maltophilia K279a,601
Shigella boydii,577
Stenotrophomonas maltophilia R551-3,552
Escherichia coli str. K-12 substr. MG1655,472
Mus musculus,468
Pseudomonas syringae pv. tomato str. DC3000,370
Pseudomonas fluorescens Pf0-1,368
Pseudomonas fluorescens Pf-5,324
Salmo salar,269
Homo sapiens,261
Arachis hypogaea,260
Citrobacter koseri ATCC BAA-895,259
uncultured bacterium,251
Shigella dysenteriae,251
Delftia acidovorans SPH-1,228
Salmonella enterica subsp. enterica serovar Newport str. SL254,189
Human herpesvirus 5,173
Zea mays,153
Pseudomonas syringae pv. syringae B728a,143
Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7,134
Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633,132
Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150,131
Borrelia afzelii PKo,123
Klebsiella pneumoniae 342,118
Pseudomonas putida W619,113
Chlorella vulgaris,112
Salmonella enterica subsp. enterica serovar Typhi str. Ty2,112
Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853,106
Pseudomonas syringae pv. phaseolicola 1448A,101
Pseudomonas putida KT2440,99
Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,99
Pseudomonas putida GB-1,98
synthetic construct,93
Salmonella enterica subsp. enterica serovar Agona str. SL483,91
Salmonella enterica subsp. arizonae serovar 62:z4,z23:--,90
Shigella flexneri,90
Lawsonia intracellularis PHE/MN1-00,90
Bifidobacterium longum NCC2705,90
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,89
Salmonella enterica subsp. enterica serovar Heidelberg str. SL476,89
Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601,89
Citrobacter rodentium ICC168,82
Enterobacter cloacae SCF1,82
Burkholderia cepacia,78
Enterobacter cloacae subsp. cloacae ATCC 13047,75
Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91,74
Salmonella enterica subsp. enterica serovar Enteritidis str. P125109,73
Klebsiella variicola At-22,73
Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,73
Salmonella enterica subsp. enterica serovar Paratyphi C strain RKS4594,73
Salmonella enterica subsp. enterica serovar Typhimurium str. T000240,72
Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,70
Pseudomonas entomophila L48,70
Cronobacter turicensis z3032,69
Cronobacter sakazakii ATCC BAA-894,67
Pseudomonas putida BIRD-1,66
Pantoea ananatis LMG 20103,65
Delivery vector pIEF16S,64
Pseudomonas stutzeri A1501,63
Pseudomonas putida F1,61
Tetraselmis marina,60
Proteus vulgaris,60
Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67,59
Kluyvera cryocrescens,58
Delivery vector pIEFBPR,56
Klebsiella pneumoniae NTUH-K2044,56
Klebsiella pneumoniae subsp. pneumoniae MGH 78578,55
Dunaliella salina,55
Shigella sonnei,54
Delivery vector pDGIEF,53
Enterobacter sp. 638,53
Scenedesmus obliquus,52
Pseudomonas fluorescens,47
Puccinia triticina,45
Rhodella violacea,44
Stigeoclonium helveticum,43
Shigella flexneri 6,41
Clostridium botulinum A str. Hall,40
Prasinococcus capsulatus,38
Hibberdia magna,38
Oocystis solitaria,37
Chlamydomonas reinhardtii,37
Vibrio cholerae,36
Prymnesium parvum,35
Bigelowiella natans,35
Leptosira terrestris,35
Volvox carteri f. nagariensis,34
Pseudomonas putida,32
